Date/Time,Cooling:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,0.0,0.0 
 01/01  02:00:00,0.0,0.0 
 01/01  03:00:00,0.0,0.0 
 01/01  04:00:00,0.0,0.0 
 01/01  05:00:00,0.0,0.0 
 01/01  06:00:00,0.0,0.0 
 01/01  07:00:00,0.0,0.0 
 01/01  08:00:00,0.0,0.0 
 01/01  09:00:00,0.0,0.0 
 01/01  10:00:00,8895404.202623098,0.0 
 01/01  11:00:00,8071757.6519847069,0.0 
 01/01  12:00:00,9566444.380503109,0.0 
 01/01  13:00:00,11146903.45727842,0.0 
 01/01  14:00:00,12641574.343280273,0.0 
 01/01  15:00:00,13862231.890773479,0.0 
 01/01  16:00:00,14621438.397099436,0.0 
 01/01  17:00:00,14596355.494202964,0.0 
 01/01  18:00:00,0.0,0.0 
 01/01  19:00:00,0.0,0.0 
 01/01  20:00:00,0.0,0.0 
 01/01  21:00:00,0.0,0.0 
 01/01  22:00:00,0.0,0.0 
 01/01  23:00:00,0.0,0.0 
 01/01  24:00:00,0.0,0.0 
 01/02  01:00:00,0.0,0.0 
 01/02  02:00:00,0.0,0.0 
 01/02  03:00:00,0.0,0.0 
 01/02  04:00:00,0.0,0.0 
 01/02  05:00:00,0.0,0.0 
 01/02  06:00:00,0.0,0.0 
 01/02  07:00:00,0.0,0.0 
 01/02  08:00:00,0.0,0.0 
 01/02  09:00:00,0.0,0.0 
 01/02  10:00:00,9544179.068641955,0.0 
 01/02  11:00:00,8548055.256849742,0.0 
 01/02  12:00:00,10125550.557443457,0.0 
 01/02  13:00:00,11934550.004119676,0.0 
 01/02  14:00:00,13534840.916560412,0.0 
 01/02  15:00:00,14650764.29948113,0.0 
 01/02  16:00:00,15004042.67676616,0.0 
 01/02  17:00:00,14571557.256147515,0.0 
 01/02  18:00:00,0.0,0.0 
 01/02  19:00:00,0.0,0.0 
 01/02  20:00:00,0.0,0.0 
 01/02  21:00:00,0.0,0.0 
 01/02  22:00:00,0.0,0.0 
 01/02  23:00:00,0.0,0.0 
 01/02  24:00:00,0.0,0.0 
